gpsSpeed,gpsCourse,gpsAccuracyVert,gpsAccuracyHor,inOut
0,21.796875,3,5,0
0,21.796875,3,5,0
0,21.796875,4,5,0
0,21.796875,4,5,0
0,21.796875,3,5,0
0,21.796875,3,5,0
0,21.796875,4,5,0
0,21.796875,4,5,0
0,21.796875,3,5,0
0,21.796875,3,5,0
0,21.796875,4,5,0
0,21.796875,4,5,0
0.55,273.1640625,3,5,0
0.55,273.1640625,3,5,0
0.17,10.8984375,4,5,0
0.17,10.8984375,4,5,0
0.55,284.4140625,3,5,0
0.55,284.4140625,3,5,0
0.44,290.7421875,4,5,0
0.44,290.7421875,4,5,0
0.56,36.5625,3,5,0
0.56,36.5625,3,5,0
0,36.5625,3,5,0
0,36.5625,3,5,0
0,36.5625,3,5,0
0,36.5625,3,5,0
0,36.5625,3,5,0
0,36.5625,3,5,0
0,36.5625,3,5,0
0,36.5625,3,5,0
0,36.5625,3,5,0
0,36.5625,3,5,0
0,36.5625,3,5,0
0,36.5625,4,5,0
0,36.5625,4,5,0
0,36.5625,3,5,0
0,36.5625,3,5,0
0,36.5625,4,25,0
0,36.5625,4,25,0
0,36.5625,3,25,0
0,36.5625,3,25,0
0,36.5625,4,25,0
0,36.5625,4,25,0
0,36.5625,3,25,0
0,36.5625,3,25,0
0,36.5625,4,25,0
0,36.5625,4,25,0
0,36.5625,3,25,0
0,36.5625,3,25,0
0,36.5625,4,25,0
0,36.5625,4,25,0
0,36.5625,3,25,0
0,36.5625,3,25,0
0,133.59375,4,25,0
0,133.59375,4,25,0
0.85,132.890625,3,25,0
0.85,132.890625,3,25,0
0.96,132.1875,4,25,0
0.96,132.1875,4,25,0
1.09,143.4375,3,25,0
1.09,143.4375,3,25,0
1.09,155.0390625,4,25,0
1.09,155.0390625,4,25,0
0,155.0390625,3,25,0
0,155.0390625,3,25,0
0,155.0390625,4,25,0
0,155.0390625,4,25,0
0,155.0390625,3,25,0
0,155.0390625,3,25,0
0,155.0390625,4,25,0
0,155.0390625,4,25,0
0,221.1328125,3,25,0
0,221.1328125,3,25,0
0.87,325.546875,4,25,0
0.87,325.546875,4,25,0
0.87,327.3046875,3,25,0
0.87,327.3046875,3,25,0
0.8,313.2421875,4,25,0
0.8,313.2421875,4,25,0
0.8,277.734375,3,25,0
0.8,277.734375,3,25,0
0.8,262.6171875,4,25,0
0.8,262.6171875,4,25,0
0.96,237.65625,3,25,0
0.96,237.65625,3,25,0
1.52,220.078125,4,25,0
1.52,220.078125,4,25,0
1.52,209.1796875,3,25,0
1.52,209.1796875,3,25,0
1.43,203.203125,4,25,0
1.43,203.203125,4,25,0
1.12,200.7421875,3,25,0
1.12,200.7421875,3,25,0
1.1,203.203125,4,25,0
1.1,203.203125,4,25,0
0.42,207.7734375,3,25,0
0.42,207.7734375,3,25,0
0.75,241.171875,4,25,0
0.75,241.171875,4,25,0
0.59,270.3515625,3,25,0
0.59,270.3515625,3,25,0
0.6,269.6484375,4,25,0
0.6,269.6484375,4,25,0
0.62,234.4921875,3,25,0
0.62,234.4921875,3,25,0
0.66,202.5,4,25,0
0.66,202.5,4,25,0
0.66,196.5234375,3,25,0
0.66,196.5234375,3,25,0
0.67,203.203125,3,25,0
0.67,203.203125,3,25,0
0.67,192.65625,3,25,0
0.67,192.65625,3,25,0
0.79,174.7265625,3,25,0
0.79,174.7265625,3,25,0
0.79,161.015625,4,25,0
0.79,161.015625,4,25,0
0.79,181.40625,3,25,0
0.79,181.40625,3,25,0
0.92,184.5703125,4,25,0
0.92,184.5703125,4,25,0
0.21,182.109375,3,25,0
0.21,182.109375,3,25,0
0.54,192.65625,4,25,0
0.54,192.65625,4,25,0
0,192.65625,3,25,0
0,192.65625,3,25,0
0,192.65625,4,25,0
0,192.65625,4,25,0
0,192.65625,3,25,0
0,192.65625,3,25,0
0,192.65625,4,25,0
0,192.65625,4,25,0
0,192.65625,3,25,0
0,192.65625,3,25,0
0,192.65625,4,25,0
0,192.65625,4,25,0
0,192.65625,3,25,0
0,192.65625,3,25,0
1.67,320.625,4,25,0
1.67,320.625,4,25,0
2.36,288.28125,3,25,0
2.36,288.28125,3,25,0
1.81,288.984375,4,25,0
1.81,288.984375,4,25,0
1.81,274.21875,3,25,0
1.81,274.21875,3,25,0
1.14,279.4921875,4,25,0
1.14,279.4921875,4,25,0
0.62,277.03125,3,25,0
0.62,277.03125,3,25,0
1.75,285.46875,4,25,0
1.75,285.46875,4,25,0
1.62,287.578125,3,25,0
1.62,287.578125,3,25,0
1.62,284.4140625,4,25,0
1.62,284.4140625,4,25,0
1.54,278.7890625,3,25,0
1.54,278.7890625,3,25,0
1.54,271.40625,4,25,0
1.54,271.40625,4,25,0
1.43,268.9453125,3,25,0
1.43,268.9453125,3,25,0
1.28,254.1796875,4,25,0
1.28,254.1796875,4,25,0
0.71,234.84375,3,25,0
0.71,234.84375,3,25,0
0.93,193.0078125,4,25,0
0.93,193.0078125,4,25,0
0.2,182.109375,3,25,0
0.2,182.109375,3,25,0
0,206.015625,4,25,0
0,206.015625,4,25,0
0,206.015625,3,25,0
0,206.015625,3,25,0
0,206.015625,4,25,0
0,206.015625,4,25,0
0,206.015625,3,25,0
0,206.015625,3,25,0
0,206.015625,4,25,0
0,206.015625,4,25,0
0,158.203125,3,25,0
0,158.203125,3,25,0
0.71,142.3828125,4,25,0
0.71,142.3828125,4,25,0
0.71,121.640625,3,25,0
0.71,121.640625,3,25,0
0.64,139.5703125,4,25,0
0.64,139.5703125,4,25,0
0.64,137.4609375,3,25,0
0.64,137.4609375,3,25,0
0.73,135.703125,4,29.26900719,0
0.73,135.703125,4,29.26900719,0
0.38,130.78125,3,25,0
0.38,130.78125,3,25,0
0,126.2109375,3,25,0
0,126.2109375,3,25,0
0,135.703125,3,25,0
0,135.703125,3,25,0
0,126.5625,3,25,0
0,126.5625,3,25,0
0,121.2890625,4,30.34992966,0
0,121.2890625,4,30.34992966,0
0.83,117.0703125,3,31.22391983,0
0.83,117.0703125,3,31.22391983,0
0.84,109.6875,4,30.24814871,0
0.84,109.6875,4,30.24814871,0
0.84,107.9296875,3,29.67196573,0
0.84,107.9296875,3,29.67196573,0
0.24,110.0390625,4,25,0
0.24,110.0390625,4,25,0
0.61,116.71875,3,25,0
0.61,116.71875,3,25,0
0.78,120.234375,4,25,0
0.78,120.234375,4,25,0
0.78,124.1015625,3,25,0
0.78,124.1015625,3,25,0
0.78,142.734375,4,25,0
0.78,142.734375,4,25,0
0.86,176.8359375,3,25,0
0.86,176.8359375,3,25,0
0.86,190.1953125,4,25,0
0.86,190.1953125,4,25,0
0.47,198.28125,3,25,0
0.47,198.28125,3,25,0
0.47,198.984375,4,25,0
0.47,198.984375,4,25,0
0.61,207.421875,3,25,0
0.61,207.421875,3,25,0
0.68,201.796875,4,25,0
0.68,201.796875,4,25,0
0.86,190.1953125,3,25,0
0.86,190.1953125,3,25,0
0.75,175.4296875,4,25,0
0.75,175.4296875,4,25,0
0.75,175.4296875,4,25,0
0.86,171.5625,3,25,0
0.86,171.5625,3,25,0
1.29,170.5078125,4,25,0
1.29,170.5078125,4,25,0
1.29,182.8125,3,25,0
1.29,182.8125,3,25,0
1.09,195.1171875,4,25,0
1.09,195.1171875,4,25,0
1.01,202.1484375,3,25,0
1.01,202.1484375,3,25,0
0.77,201.4453125,4,25,0
0.77,201.4453125,4,25,0
0.64,193.7109375,3,25,0
0.64,193.7109375,3,25,0
0.64,198.6328125,4,25,0
0.64,198.6328125,4,25,0
0.59,202.8515625,3,25,0
0.59,202.8515625,3,25,0
0.59,196.171875,4,25,0
0.59,196.171875,4,25,0
0.79,125.5078125,3,25,0
0.79,125.5078125,3,25,0
0.79,125.5078125,4,25,0
0.79,125.5078125,4,25,0
0.79,125.5078125,3,25,0
0.79,125.5078125,3,25,0
0.79,125.5078125,4,25,0
0.79,125.5078125,4,25,0
0.61,125.5078125,3,25,0
0.61,125.5078125,3,25,0
0.63,125.5078125,4,25,0
0.63,125.5078125,4,25,0
0.63,187.03125,3,25,0
0.63,187.03125,3,25,0
1.07,186.6796875,4,25,0
1.07,186.6796875,4,25,0
1.07,187.03125,3,25,0
1.07,187.03125,3,25,0
1.12,187.03125,4,25,0
1.12,187.03125,4,25,0
1.12,187.03125,3,25,0
1.12,187.03125,3,25,0
1.12,191.953125,4,25,0
1.12,191.953125,4,25,0
1.28,192.3046875,3,25,0
1.28,192.3046875,3,25,0
1.28,192.3046875,3,25,0
1.28,192.3046875,3,25,0
0.54,192.3046875,3,25,0
0.54,192.3046875,3,25,0
0.54,192.3046875,3,25,0
0.54,192.3046875,3,25,0
0.53,192.3046875,4,25,0
0.53,192.3046875,4,25,0
0.53,192.3046875,3,25,0
0.53,192.3046875,3,25,0
0.91,192.3046875,4,25,0
0.91,192.3046875,4,25,0
1.23,214.8046875,3,25,0
1.23,214.8046875,3,25,0
0.91,192.3046875,4,25,0
0.91,192.3046875,4,25,0
1.13,267.1875,3,25,0
1.13,267.1875,3,25,0
1.1,264.7265625,4,25,0
1.1,264.7265625,4,25,0
1.61,270.703125,3,25,0
1.61,270.703125,3,25,0
1.61,270,4,25,0
1.61,270,4,25,0
1.12,270,3,25,0
1.12,270,3,25,0
1.05,224.6484375,4,25,0
1.05,224.6484375,4,25,0
1.03,224.6484375,3,25,0
1.03,224.6484375,3,25,0
1.56,211.9921875,4,25,0
1.56,211.9921875,4,25,0
1.56,224.296875,3,25,0
1.56,224.296875,3,25,0
1.17,224.296875,4,25,0
1.17,224.296875,4,25,0
1.17,208.4765625,3,25,0
1.17,208.4765625,3,25,0
1.22,225,4,25,0
1.22,225,4,25,0
0.9,215.5078125,3,25,0
0.9,215.5078125,3,25,0
1.56,234.84375,4,25,0
1.56,234.84375,4,25,0
0.9,247.5,3,25,0
0.9,247.5,3,25,0
